           Day,    Flow (cfs),Direct Runoff (cfs),Base Flow (cfs),,,Base Flow Index (BFI): 0.241
1,0.1,0.05,0.05,,,
2,0.1,0.05,0.05,,,
3,0.1,0.05,0.05,,,
4,0.1,0.05,0.05,,,
5,0.1,0.05,0.05,,,
6,0.1,0.05,0.05,,,
7,0.1,0.05,0.05,,,
8,0.1,0.05,0.05,,,
9,0.1,0.05,0.05,,,
10,0.1,0.05,0.05,,,
11,0.1,0.05,0.05,,,
12,0.1,0.06,0.04,,,
13,0.1,0.06,0.04,,,
14,0.1,0.06,0.04,,,
15,0.1,0.06,0.04,,,
16,0.1,0.06,0.04,,,
17,21.4,21.17,0.23,,,
18,14,13.66,0.34,,,
19,4.4,4.03,0.37,,,
20,1.7,1.32,0.38,,,
21,44,43.25,0.75,,,
22,293,289.72,3.28,,,
23,212.5,207.47,5.03,,,
24,163,156.69,6.31,,,
25,131,123.73,7.27,,,
26,57.5,49.94,7.56,,,
27,46,38.26,7.74,,,
28,318,307.71,10.29,,,
29,236.4,224.35,12.05,,,
30,139,126.08,12.92,,,
1,353,337.38,15.62,,,
2,218.5,201.42,17.08,,,
3,248,229.25,18.75,,,
4,164,144.36,19.64,,,
5,168,147.46,20.54,,,
6,426.5,402.83,23.67,,,
7,170,145.53,24.47,,,
8,127.8,102.92,24.88,,,
9,123.5,98.25,25.25,,,
10,345,317.47,27.53,,,
11,161,132.85,28.15,,,
12,209.5,180.33,29.17,,,
13,193.5,163.48,30.02,,,
14,345,312.84,32.16,,,
15,159,126.37,32.63,,,
16,129,96.18,32.82,,,
17,120,87.07,32.93,,,
18,187,153.38,33.62,,,
19,138,104.14,33.86,,,
20,113,79.13,33.87,,,
21,81,47.39,33.61,,,
22,368,332.14,35.86,,,
23,368,329.97,38.03,,,
24,193.5,154.87,38.63,,,
25,266.5,226.65,39.85,,,
26,348,306.26,41.74,,,
27,294.5,251.39,43.11,,,
28,284.5,240.14,44.36,,,
29,141.5,97.18,44.32,,,
30,224,178.99,45.01,,,
31,172,126.78,45.22,,,
1,439,391.25,47.75,,,
2,333.5,284.21,49.29,,,
3,238,188.05,49.95,,,
4,268,217.14,50.86,,,
5,730.5,674.73,55.77,,,
6,469,410.74,58.26,,,
7,298,238.81,59.19,,,
8,244,184.38,59.62,,,
9,250,189.9,60.1,,,
10,290.5,229.59,60.91,,,
11,298,236.24,61.76,,,
12,219,157.09,61.91,,,
13,187,125.23,61.77,,,
14,180,118.43,61.57,,,
15,592,527.03,64.97,,,
16,330.5,264.51,65.99,,,
17,436.5,368.6,67.9,,,
18,277.5,209.12,68.38,,,
19,222,153.64,68.36,,,
20,290,221.06,68.94,,,
21,216,147.15,68.85,,,
22,434,363.34,70.66,,,
23,220,149.44,70.56,,,
24,161,91.05,69.95,,,
25,368,296.85,71.15,,,
26,287,215.38,71.62,,,
27,257,185.19,71.81,,,
28,206,134.44,71.56,,,
29,17.5,0,17.5,,,
30,317,297.24,19.76,,,
31,206.7,185.71,20.99,,,
1,203,180.84,22.16,,,
2,308,283.79,24.21,,,
3,200.2,174.94,25.26,,,
4,199.7,173.42,26.28,,,
5,263,235.18,27.82,,,
6,198.4,169.65,28.75,,,
7,166,136.63,29.37,,,
8,114.5,84.97,29.53,,,
9,108.5,78.87,29.63,,,
10,124,94.13,29.87,,,
11,97.7,67.84,29.86,,,
12,150,119.68,30.32,,,
13,177.1,146.11,30.99,,,
14,128.5,97.27,31.23,,,
15,126.4,94.96,31.44,,,
16,106.3,74.84,31.46,,,
17,91,59.64,31.36,,,
18,119.4,87.9,31.5,,,
19,311.1,277.79,33.31,,,
20,168.9,135.07,33.83,,,
21,185.2,150.72,34.48,,,
22,190.1,154.95,35.15,,,
23,94.7,59.73,34.97,,,
24,135,99.85,35.15,,,
25,132.3,97.01,35.29,,,
26,71.4,36.49,34.91,,,
27,79.5,44.9,34.6,,,
28,131.7,96.94,34.76,,,
29,114.3,79.53,34.77,,,
30,74.6,40.18,34.42,,,
1,73,38.92,34.08,,,
2,70,36.29,33.71,,,
3,82.9,49.43,33.47,,,
4,96.3,62.94,33.36,,,
5,76.7,43.63,33.07,,,
6,66,33.3,32.7,,,
7,65.5,33.16,32.34,,,
8,48,16.17,31.83,,,
9,58.4,26.97,31.43,,,
10,56.1,25.07,31.03,,,
11,36.5,6.04,30.46,,,
12,58.4,28.3,30.1,,,
13,44.1,14.48,29.62,,,
14,48.7,19.5,29.2,,,
15,30,1.37,28.63,,,
16,32.2,4.11,28.09,,,
17,33.3,5.72,27.58,,,
18,31.1,4.04,27.06,,,
19,27.8,1.27,26.53,,,
20,31.1,5.05,26.05,,,
21,28.2,2.65,25.55,,,
22,21,0,21,,,
23,20,0,20,,,
24,19.8,0.2,19.6,,,
25,18,0,18,,,
26,16,0,16,,,
27,15,0,15,,,
28,13.7,0,13.7,,,
29,14.5,1.06,13.44,,,
30,14.9,1.72,13.18,,,
31,15.6,2.66,12.94,,,
1,15.8,3.09,12.71,,,
2,14.9,2.42,12.48,,,
3,40,27.53,12.47,,,
4,24,11.68,12.32,,,
5,15.6,3.49,12.11,,,
6,13.5,1.62,11.88,,,
7,12.5,0.85,11.65,,,
8,11,0,11,,,
9,10.1,0,10.1,,,
10,10.6,0.7,9.9,,,
11,10.7,0.99,9.71,,,
12,10,0.48,9.52,,,
13,9.9,0.56,9.34,,,
14,8.8,0,8.8,,,
15,7.9,0,7.9,,,
16,9.8,2.04,7.76,,,
17,8.5,0.89,7.61,,,
18,8.5,1.03,7.47,,,
19,6.8,0,6.8,,,
20,6.5,0,6.5,,,
21,6.4,0.03,6.37,,,
22,6,0,6,,,
23,5.5,0,5.5,,,
24,5.5,0.11,5.39,,,
25,6.9,1.6,5.3,,,
26,5.5,0.31,5.19,,,
27,7.2,2.09,5.11,,,
28,7,1.98,5.02,,,
29,6,1.07,4.93,,,
30,6.4,1.55,4.85,,,
1,202,195.53,6.47,,,
2,192.5,184.54,7.96,,,
3,166,156.83,9.17,,,
4,15.7,6.65,9.05,,,
5,14,5.09,8.91,,,
6,13.2,4.43,8.77,,,
7,12.3,3.67,8.63,,,
8,12.7,4.21,8.49,,,
9,13.1,4.73,8.37,,,
10,13,4.76,8.24,,,
11,12.1,3.99,8.11,,,
12,9.7,1.74,7.96,,,
13,11.7,3.86,7.84,,,
14,10.6,2.89,7.71,,,
15,8.7,1.14,7.56,,,
16,8.7,1.28,7.42,,,
17,11.1,3.79,7.31,,,
18,9.1,1.92,7.18,,,
19,8.3,1.25,7.05,,,
20,8.5,1.58,6.92,,,
21,7.6,0.81,6.79,,,
22,7.5,0.84,6.66,,,
23,7.3,0.77,6.53,,,
24,7.7,1.29,6.41,,,
25,7.3,1.01,6.29,,,
26,7,0.82,6.18,,,
27,7.7,1.63,6.07,,,
28,7.4,1.44,5.96,,,
29,6.9,1.05,5.85,,,
30,6.8,1.06,5.74,,,
31,6.6,0.97,5.63,,,
1,6.4,0.87,5.53,,,
2,5.5,0.08,5.42,,,
3,6.9,1.58,5.32,,,
4,7.1,1.87,5.23,,,
5,6.7,1.56,5.14,,,
6,6.7,1.65,5.05,,,
7,5.9,0.94,4.96,,,
8,5.9,1.03,4.87,,,
9,6.2,1.41,4.79,,,
10,5.8,1.1,4.7,,,
11,4.9,0.29,4.61,,,
12,5,0.48,4.52,,,
13,5.5,1.06,4.44,,,
14,5.5,1.14,4.36,,,
15,4.9,0.62,4.28,,,
16,3.6,0,3.6,,,
17,4.6,1.06,3.54,,,
18,4.4,0.93,3.47,,,
19,4.5,1.09,3.41,,,
20,3.1,0,3.1,,,
21,73,69.35,3.65,,,
22,57.5,53.46,4.04,,,
23,13,8.96,4.04,,,
24,12.8,8.76,4.04,,,
25,12,7.97,4.03,,,
26,11.6,7.59,4.01,,,
27,10.6,6.61,3.99,,,
28,10,6.04,3.96,,,
29,12,8.05,3.95,,,
30,113,108.18,4.82,,,
31,11,6.22,4.78,,,
1,9.5,4.77,4.73,,,
2,8.7,4.03,4.67,,,
3,7.8,3.2,4.6,,,
4,10.3,5.74,4.56,,,
5,9.4,4.89,4.51,,,
6,8.2,3.74,4.46,,,
7,8.2,3.8,4.4,,,
8,8.1,3.75,4.35,,,
9,172,166.28,5.72,,,
10,187,179.82,7.18,,,
11,11.5,4.42,7.08,,,
12,10.6,3.63,6.97,,,
13,6.9,0.07,6.83,,,
14,8.3,1.59,6.71,,,
15,8.4,1.81,6.59,,,
16,9.4,2.92,6.48,,,
17,9.9,3.52,6.38,,,
18,9.2,2.92,6.28,,,
19,12.2,5.99,6.21,,,
20,54,47.5,6.5,,,
21,50,43.25,6.75,,,
22,13.1,6.43,6.67,,,
23,13.5,6.9,6.6,,,
24,11.2,4.69,6.51,,,
25,7,0.62,6.38,,,
26,6.7,0.44,6.26,,,
27,5.3,0,5.3,,,
28,5.7,0.5,5.2,,,
1,4.7,0,4.7,,,
2,4.5,0,4.5,,,
3,4.4,0,4.4,,,
4,4.7,0.38,4.32,,,
5,3.3,0,3.3,,,
6,3.1,0,3.1,,,
7,3.8,0.76,3.04,,,
8,3.7,0.71,2.99,,,
9,3.9,0.96,2.94,,,
10,3.8,0.91,2.89,,,
11,3,0.17,2.83,,,
12,3,0.22,2.78,,,
13,3.1,0.38,2.72,,,
14,2.9,0.23,2.67,,,
15,1.9,0,1.9,,,
16,2.9,1.03,1.87,,,
17,2.8,0.96,1.84,,,
18,1.7,0,1.7,,,
19,2.1,0.43,1.67,,,
20,1.7,0.06,1.64,,,
21,1.5,0,1.5,,,
22,1.9,0.43,1.47,,,
23,1.7,0.25,1.45,,,
24,1.7,0.28,1.42,,,
25,2.1,0.7,1.4,,,
26,1.7,0.33,1.37,,,
27,1.6,0.25,1.35,,,
28,1.4,0.08,1.32,,,
29,1.3,0.01,1.29,,,
30,1.3,0.03,1.27,,,
31,1.1,0,1.1,,,
1,1,0,1,,,
2,1,0.02,0.98,,,
3,0.7,0,0.7,,,
4,0.7,0.01,0.69,,,
5,0.7,0.03,0.67,,,
6,0.6,0,0.6,,,
7,0.6,0.01,0.59,,,
8,0.5,0,0.5,,,
9,0.6,0.11,0.49,,,
10,0.6,0.12,0.48,,,
11,0.6,0.13,0.47,,,
12,0.4,0,0.4,,,
13,0.5,0.11,0.39,,,
14,0.5,0.11,0.39,,,
15,0.4,0.02,0.38,,,
16,0.5,0.13,0.37,,,
17,0.5,0.13,0.37,,,
18,0.4,0.04,0.36,,,
19,0.5,0.15,0.35,,,
20,0.2,0,0.2,,,
21,0.2,0,0.2,,,
22,0.4,0.21,0.19,,,
23,0.2,0.01,0.19,,,
24,0.1,0,0.1,,,
25,0.2,0.1,0.1,,,
26,0.1,0,0.1,,,
27,0.2,0.1,0.1,,,
28,0.2,0.11,0.09,,,
29,0.2,0.11,0.09,,,
30,0.2,0.11,0.09,,,
1,0.1,0.01,0.09,,,
2,0.2,0.11,0.09,,,
3,0.1,0.01,0.09,,,
4,0.1,0.01,0.09,,,
5,0.1,0.01,0.09,,,
6,0.1,0.02,0.08,,,
7,0.1,0.02,0.08,,,
8,0.1,0.02,0.08,,,
9,0.1,0.02,0.08,,,
10,0.1,0.02,0.08,,,
11,0.1,0.02,0.08,,,
12,0.1,0.02,0.08,,,
13,0.1,0.03,0.07,,,
14,0.1,0.03,0.07,,,
15,0.1,0.03,0.07,,,
16,0.1,0.03,0.07,,,
17,0.1,0.03,0.07,,,
18,0.1,0.03,0.07,,,
19,0.1,0.03,0.07,,,
20,0.1,0.03,0.07,,,
21,0.1,0.03,0.07,,,
22,0.1,0.04,0.06,,,
23,0.1,0.04,0.06,,,
24,0.1,0.04,0.06,,,
25,0,0,0,,,
26,0,0,0,,,
27,0,0,0,,,
28,0,0,0,,,
29,0,0,0,,,
30,0,0,0,,,
31,0,0,0,,,
1,0,0,0,,,
2,0,0,0,,,
3,0,0,0,,,
4,0,0,0,,,
5,0,0,0,,,
6,0,0,0,,,
7,0,0,0,,,
8,0,0,0,,,
9,0,0,0,,,
10,0,0,0,,,
11,0,0,0,,,
12,0,0,0,,,
13,0,0,0,,,
14,0,0,0,,,
15,0,0,0,,,
16,0,0,0,,,
17,0,0,0,,,
18,0,0,0,,,
19,0,0,0,,,
20,0,0,0,,,
21,30.6,30.33,0.27,,,
22,30.2,29.68,0.52,,,
23,27,26.26,0.74,,,
24,28,27.04,0.96,,,
25,30,28.8,1.2,,,
26,15.8,14.5,1.3,,,
27,15.2,13.8,1.4,,,
28,11.5,10.04,1.46,,,
29,10,8.5,1.5,,,
30,9,7.46,1.54,,,
1,9.2,7.63,1.57,,,
2,9.2,7.59,1.61,,,
3,16.6,14.89,1.71,,,
4,20,18.17,1.83,,,
5,13.5,11.6,1.9,,,
6,10.1,8.17,1.93,,,
7,17,14.98,2.02,,,
8,27,24.8,2.2,,,
9,7,4.8,2.2,,,
10,25.5,23.14,2.36,,,
11,10.5,8.12,2.38,,,
12,75.5,72.53,2.97,,,
13,40,36.77,3.23,,,
14,104,99.95,4.05,,,
15,149,143.77,5.23,,,
16,82,76.21,5.79,,,
17,3,0,3,,,
18,77.5,73.91,3.59,,,
19,78,73.84,4.16,,,
20,46,41.55,4.45,,,
21,43,38.31,4.69,,,
22,46,41.04,4.96,,,
23,39.8,34.64,5.16,,,
24,69,63.38,5.62,,,
25,53,47.08,5.92,,,
26,69.8,63.44,6.36,,,
27,56,49.34,6.66,,,
28,49,42.1,6.9,,,
29,42.5,35.43,7.07,,,
30,74,66.49,7.51,,,
31,68,60.11,7.89,,,
1,35.5,27.52,7.98,,,
2,38.5,30.42,8.08,,,
3,20.4,12.37,8.03,,,
4,125.5,116.61,8.89,,,
5,90.5,81.07,9.43,,,
6,89,79.07,9.93,,,
7,201,189.6,11.4,,,
8,392,377.52,14.48,,,
9,914,891.98,22.02,,,
10,503,477.23,25.77,,,
11,293,265.42,27.58,,,
12,223,194.26,28.74,,,
13,150,120.78,29.22,,,
14,97.5,68.26,29.24,,,
15,64,35.04,28.96,,,
16,56,27.38,28.62,,,
17,52,23.74,28.26,,,
18,49,21.12,27.88,,,
19,41.5,14.06,27.44,,,
20,33.4,6.45,26.95,,,
21,25.7,0,25.7,,,
22,21.6,0,21.6,,,
23,18.9,0,18.9,,,
24,19,0.47,18.53,,,
25,18,0,18,,,
26,12,0,12,,,
27,17,5.19,11.81,,,
28,11.4,0,11.4,,,
29,11.1,0,11.1,,,
30,10.6,0,10.6,,,
31,9,0,9,,,
1,5.5,0,5.5,,,
2,5.6,0.21,5.39,,,
3,3,0,3,,,
4,42.5,39.22,3.28,,,
5,15.6,12.27,3.33,,,
6,13,9.66,3.34,,,
7,9.8,6.47,3.33,,,
8,11.7,8.36,3.34,,,
9,7,3.69,3.31,,,
10,9.7,6.4,3.3,,,
11,8.1,4.83,3.27,,,
12,8.9,5.64,3.26,,,
13,11.8,8.53,3.27,,,
14,19.4,16.06,3.34,,,
15,26.5,23.02,3.48,,,
16,32,28.34,3.66,,,
17,31,27.18,3.82,,,
18,29,25.03,3.97,,,
19,27.5,23.41,4.09,,,
20,32,27.75,4.25,,,
21,31,26.6,4.4,,,
22,53.2,48.46,4.74,,,
23,31.9,27.02,4.88,,,
24,23,18.06,4.94,,,
25,18.7,13.74,4.96,,,
26,16.7,11.73,4.97,,,
27,16.5,11.53,4.97,,,
28,25.7,20.65,5.05,,,
29,33,27.81,5.19,,,
30,32,26.68,5.32,,,
1,30,24.57,5.43,,,
2,26.5,20.99,5.51,,,
3,17.5,12,5.5,,,
4,16,10.51,5.49,,,
5,14.5,9.04,5.46,,,
6,14,8.58,5.42,,,
7,11,5.64,5.36,,,
8,19,13.62,5.38,,,
9,9,3.7,5.3,,,
10,8,2.78,5.22,,,
11,7.5,2.36,5.14,,,
12,6.5,1.45,5.05,,,
13,8.5,3.52,4.98,,,
14,8,3.1,4.9,,,
15,7.9,3.07,4.83,,,
16,7.5,2.74,4.76,,,
17,7.4,2.71,4.69,,,
18,5.3,0.7,4.6,,,
19,5,0.49,4.51,,,
20,4.5,0.08,4.42,,,
21,4.5,0.16,4.34,,,
22,5.2,0.94,4.26,,,
23,4.5,0.32,4.18,,,
24,2.6,0,2.6,,,
25,3,0.45,2.55,,,
26,3,0.49,2.51,,,
27,2.9,0.44,2.46,,,
28,3,0.59,2.41,,,
29,2.7,0.33,2.37,,,
30,2.7,0.37,2.33,,,
31,3,0.71,2.29,,,
1,3.4,1.15,2.25,,,
2,2.2,0,2.2,,,
3,2.1,0,2.1,,,
4,3,0.93,2.07,,,
5,1.8,0,1.8,,,
6,1.8,0.04,1.76,,,
7,1.7,0,1.7,,,
8,1.7,0.03,1.67,,,
9,2.5,0.86,1.64,,,
10,2.5,0.88,1.62,,,
11,1.6,0.02,1.58,,,
12,2.5,0.94,1.56,,,
13,2.5,0.96,1.54,,,
14,2.2,0.69,1.51,,,
15,2.1,0.61,1.49,,,
16,1,0,1,,,
17,2.5,1.51,0.99,,,
18,2.1,1.12,0.98,,,
19,1.1,0.14,0.96,,,
20,1.1,0.15,0.95,,,
21,1.3,0.37,0.93,,,
22,1.3,0.38,0.92,,,
23,1.3,0.4,0.9,,,
24,1.2,0.31,0.89,,,
25,1.3,0.43,0.87,,,
26,1.2,0.34,0.86,,,
27,1.3,0.46,0.84,,,
28,1.3,0.47,0.83,,,
29,1,0.18,0.82,,,
30,0.9,0.1,0.8,,,
1,0.9,0.11,0.79,,,
2,0.9,0.13,0.77,,,
3,1,0.24,0.76,,,
4,0.7,0,0.7,,,
5,0.8,0.11,0.69,,,
6,1,0.32,0.68,,,
7,1.1,0.43,0.67,,,
8,1.1,0.44,0.66,,,
9,1.1,0.45,0.65,,,
10,1.1,0.46,0.64,,,
11,1.1,0.47,0.63,,,
12,1.1,0.48,0.62,,,
13,0.9,0.29,0.61,,,
14,1,0.4,0.6,,,
15,0.9,0.31,0.59,,,
16,0.8,0.22,0.58,,,
17,0.8,0.23,0.57,,,
18,0.9,0.33,0.57,,,
19,0.8,0.24,0.56,,,
20,0.8,0.25,0.55,,,
21,0.8,0.26,0.54,,,
22,0.8,0.27,0.53,,,
23,0.7,0.18,0.52,,,
24,0.7,0.19,0.51,,,
25,0.7,0.2,0.5,,,
26,0.7,0.2,0.5,,,
27,0.8,0.31,0.49,,,
28,0.7,0.22,0.48,,,
29,0.6,0.13,0.47,,,
30,0.6,0.14,0.46,,,
31,0.6,0.14,0.46,,,
1,0.8,0.35,0.45,,,
2,0.8,0.36,0.44,,,
3,0.7,0.26,0.44,,,
4,0.7,0.27,0.43,,,
5,0.7,0.28,0.42,,,
6,0.6,0.18,0.42,,,
7,0.6,0.19,0.41,,,
8,0.6,0.2,0.4,,,
9,0.6,0.2,0.4,,,
10,1.3,0.9,0.4,,,
11,1.2,0.8,0.4,,,
12,1.2,0.8,0.4,,,
13,1.7,1.3,0.4,,,
14,1.3,0.9,0.4,,,
15,1.2,0.8,0.4,,,
16,2.2,1.79,0.41,,,
17,2.1,1.69,0.41,,,
18,1.4,0.99,0.41,,,
19,2.3,1.88,0.42,,,
20,2.3,1.87,0.43,,,
21,1.3,0.87,0.43,,,
22,1.2,0.77,0.43,,,
23,1,0.58,0.42,,,
24,0.9,0.48,0.42,,,
25,0.9,0.48,0.42,,,
26,0.8,0.39,0.41,,,
27,0.8,0.39,0.41,,,
28,0.8,0.4,0.4,,,
29,0.8,0.4,0.4,,,
30,0.7,0.31,0.39,,,
31,0.3,0,0.3,,,
1,0.4,0.11,0.29,,,
2,0.5,0.21,0.29,,,
3,0.6,0.31,0.29,,,
4,0.5,0.22,0.28,,,
5,0.4,0.12,0.28,,,
6,0.5,0.22,0.28,,,
7,0.3,0.03,0.27,,,
8,0.3,0.03,0.27,,,
9,0.3,0.04,0.26,,,
10,0.6,0.34,0.26,,,
11,0.4,0.15,0.25,,,
12,0.3,0.05,0.25,,,
13,0.3,0.05,0.25,,,
14,0.5,0.26,0.24,,,
15,0.1,0,0.1,,,
16,0.2,0.1,0.1,,,
17,0.3,0.2,0.1,,,
18,0.1,0,0.1,,,
19,0.1,0.01,0.09,,,
20,0.1,0.01,0.09,,,
21,0.1,0.01,0.09,,,
22,0.2,0.11,0.09,,,
23,0.2,0.11,0.09,,,
24,0,0,0,,,
25,0.2,0.2,0,,,
26,0.2,0.2,0,,,
27,0.1,0.1,0,,,
28,0.2,0.19,0.01,,,
29,0.1,0.09,0.01,,,
1,0.1,0.09,0.01,,,
2,0,0,0,,,
3,0.1,0.1,0,,,
4,0.1,0.1,0,,,
5,0.1,0.1,0,,,
6,0.1,0.1,0,,,
7,0.1,0.1,0,,,
8,0.1,0.1,0,,,
9,0,0,0,,,
10,1,0.99,0.01,,,
11,1,0.98,0.02,,,
12,0,0,0,,,
13,0,0,0,,,
14,0,0,0,,,
15,0,0,0,,,
16,0,0,0,,,
17,0,0,0,,,
18,0,0,0,,,
19,0,0,0,,,
20,0,0,0,,,
21,0,0,0,,,
22,0,0,0,,,
23,0,0,0,,,
24,0,0,0,,,
25,0,0,0,,,
26,0,0,0,,,
27,0,0,0,,,
28,0,0,0,,,
29,0,0,0,,,
30,0,0,0,,,
31,0,0,0,,,
1,0,0,0,,,
2,0,0,0,,,
3,0,0,0,,,
4,0,0,0,,,
5,0,0,0,,,
6,0,0,0,,,
7,0,0,0,,,
8,0,0,0,,,
9,0,0,0,,,
10,0,0,0,,,
11,0,0,0,,,
12,0,0,0,,,
13,0,0,0,,,
14,0,0,0,,,
15,0,0,0,,,
16,0,0,0,,,
17,0,0,0,,,
18,0,0,0,,,
19,0,0,0,,,
20,0,0,0,,,
21,0,0,0,,,
22,0,0,0,,,
23,0,0,0,,,
24,0,0,0,,,
25,0,0,0,,,
26,0,0,0,,,
27,0,0,0,,,
28,0,0,0,,,
29,0,0,0,,,
30,0,0,0,,,
1,0,0,0,,,
2,0,0,0,,,
3,0,0,0,,,
4,0,0,0,,,
5,0,0,0,,,
6,0,0,0,,,
7,0,0,0,,,
8,0,0,0,,,
9,0,0,0,,,
10,0,0,0,,,
11,0,0,0,,,
12,0,0,0,,,
13,0,0,0,,,
14,0,0,0,,,
15,0,0,0,,,
16,0,0,0,,,
17,0,0,0,,,
18,0,0,0,,,
19,0,0,0,,,
20,0,0,0,,,
21,0,0,0,,,
22,0,0,0,,,
23,0,0,0,,,
24,0,0,0,,,
25,0,0,0,,,
26,0,0,0,,,
27,0,0,0,,,
28,0,0,0,,,
29,0,0,0,,,
30,0,0,0,,,
31,0,0,0,,,
1,0,0,0,,,
2,0,0,0,,,
3,0,0,0,,,
4,0,0,0,,,
5,0,0,0,,,
6,0,0,0,,,
7,0,0,0,,,
8,0,0,0,,,
9,0,0,0,,,
10,0,0,0,,,
11,0,0,0,,,
12,0,0,0,,,
13,0,0,0,,,
14,0,0,0,,,
15,0,0,0,,,
16,0,0,0,,,
17,0,0,0,,,
18,0,0,0,,,
19,0,0,0,,,
20,0,0,0,,,
21,9,8.92,0.08,,,
22,41,40.57,0.43,,,
23,41.7,40.92,0.78,,,
24,125,123.15,1.85,,,
25,1256,1243.28,12.72,,,
26,73,60,13,,,
27,32,19.1,12.9,,,
28,388,372.09,15.91,,,
29,104,87.64,16.36,,,
30,86,69.36,16.64,,,
1,234,215.8,18.2,,,
2,98,79.46,18.54,,,
3,258,237.75,20.25,,,
4,124,103.24,20.76,,,
5,41,20.48,20.52,,,
6,15,0,15,,,
7,125.2,109.54,15.66,,,
8,462,442.77,19.23,,,
9,310,288.62,21.38,,,
10,88,66.46,21.54,,,
11,1075,1044.72,30.28,,,
12,284,252.12,31.88,,,
13,156,123.67,32.33,,,
14,212,178.75,33.25,,,
15,266,231.38,34.62,,,
16,1370,1324.45,45.55,,,
17,334,286.84,47.16,,,
18,186,138.57,47.43,,,
19,52,5.47,46.53,,,
20,54,8.33,45.67,,,
21,51,6.19,44.81,,,
22,43,0,43,,,
23,122,79.17,42.83,,,
24,586,539.29,46.71,,,
25,574,523.63,50.37,,,
26,982,924.52,57.48,,,
27,538,477.48,60.52,,,
28,808,742.18,65.82,,,
29,366,298.87,67.13,,,
30,271,203.43,67.57,,,
31,418,348.72,69.28,,,
1,382,311.37,70.63,,,
2,273,202.01,70.99,,,
3,640,565.47,74.53,,,
4,581,503.54,77.46,,,
5,487,407.51,79.49,,,
6,412,331.19,80.81,,,
7,567.2,483.76,83.44,,,
8,416,331.32,84.68,,,
9,385,299.39,85.61,,,
10,500,412.48,87.52,,,
11,575,484.97,90.03,,,
12,430,338.8,91.2,,,
13,353,261.33,91.67,,,
14,267,175.62,91.38,,,
15,202,111.47,90.53,,,
16,148,58.77,89.23,,,
17,130,42.18,87.82,,,
18,134,47.52,86.48,,,
19,294,207.43,86.57,,,
20,120,34.86,85.14,,,
21,92,8.48,83.52,,,
22,630,543.39,86.61,,,
23,490,401.59,88.41,,,
24,626,534.67,91.33,,,
25,410,317.71,92.29,,,
26,475,381.21,93.79,,,
27,365,270.71,94.29,,,
28,780,681.61,98.39,,,
29,930,826.32,103.68,,,
30,568,462.34,105.66,,,
31,395,288.92,106.08,,,
1,466,358.89,107.11,,,
2,416,308.33,107.67,,,
3,584,474.32,109.68,,,
4,575,463.44,111.56,,,
5,385,273.27,111.73,,,
6,492,379.18,112.82,,,
7,280,167.96,112.04,,,
8,228,117.18,110.82,,,
9,456,344.37,111.63,,,
10,456,343.59,112.41,,,
11,598,483.59,114.41,,,
12,298,184.26,113.74,,,
13,380,266.2,113.8,,,
14,718,601.2,116.8,,,
15,314,197.8,116.2,,,
16,290,174.59,115.41,,,
17,200,86.14,113.86,,,
18,158.4,46.41,111.99,,,
19,848,731.83,116.17,,,
20,440,323.31,116.69,,,
21,284,168.17,115.83,,,
22,293.8,178.72,115.08,,,
23,184,70.6,113.4,,,
24,168,56.38,111.62,,,
25,191,80.9,110.1,,,
26,132,23.89,108.11,,,
27,129,22.85,106.15,,,
28,112,7.91,104.09,,,
29,122.2,20.01,102.19,,,
30,96,0,96,,,
1,92,0,92,,,
2,85,0,85,,,
3,80,0,80,,,
4,76,0,76,,,
5,70,0,70,,,
6,50.4,0,50.4,,,
7,38,0,38,,,
8,35,0,35,,,
9,339,302.05,36.95,,,
10,32,0,32,,,
11,32,0.63,31.37,,,
12,30,0,30,,,
13,28.6,0,28.6,,,
14,28,0,28,,,
15,25,0,25,,,
16,24.9,0.4,24.5,,,
17,24,0,24,,,
18,23,0,23,,,
19,22,0,22,,,
20,22,0.44,21.56,,,
21,22,0.86,21.14,,,
22,26,5.24,20.76,,,
23,22.8,2.43,20.37,,,
24,22,2.02,19.98,,,
25,22,2.4,19.6,,,
26,22,2.77,19.23,,,
27,19.3,0.45,18.85,,,
28,18,0,18,,,
29,18,0.36,17.64,,,
30,17.2,0,17.2,,,
31,17,0.14,16.86,,,
1,16,0,16,,,
2,15,0,15,,,
3,15.5,0.79,14.71,,,
4,15,0.58,14.42,,,
5,14,0,14,,,
6,13.8,0.08,13.72,,,
7,13,0,13,,,
8,13,0.26,12.74,,,
9,13,0.51,12.49,,,
10,12.5,0.26,12.24,,,
11,12,0,12,,,
12,12,0.24,11.76,,,
13,11.6,0.07,11.53,,,
14,12,0.7,11.3,,,
15,11,0,11,,,
16,11,0.22,10.78,,,
17,11.2,0.63,10.57,,,
18,10.5,0.14,10.36,,,
19,10,0,10,,,
20,9.2,0,9.2,,,
21,9,0,9,,,
22,9,0.18,8.82,,,
23,9,0.35,8.65,,,
24,7.6,0,7.6,,,
25,7,0,7,,,
26,7,0.14,6.86,,,
27,7.5,0.77,6.73,,,
28,7,0.4,6.6,,,
29,7,0.53,6.47,,,
30,7,0.65,6.35,,,
1,7.1,0.87,6.23,,,
2,0.2,0,0.2,,,
3,0.2,0,0.2,,,
4,6.7,6.45,0.25,,,
5,0.2,0,0.2,,,
6,0.2,0,0.2,,,
