Grid No.,Lat,Long
1,23.75,79.75
2,23.75,80
3,23.75,80.25
4,23.75,80.5
5,23.5,79.75
6,23.5,80
7,23.5,80.25
8,23.5,80.5
9,23.25,79.75
10,23.25,80
11,23.25,80.25
12,23.25,80.5
