           Day,    Flow (cfs),Direct Runoff (cfs),Base Flow (cfs),,Base Flow Index (BFI): 0.228
1,0.5,0.25,0.25,,
2,0.5,0.25,0.25,,
3,0.4,0.16,0.24,,
4,0.5,0.26,0.24,,
5,0.5,0.26,0.24,,
6,0.4,0.16,0.24,,
7,0.5,0.27,0.23,,
8,0.4,0.17,0.23,,
9,0.4,0.17,0.23,,
10,0.4,0.17,0.23,,
11,0.5,0.28,0.22,,
12,1.2,0.97,0.23,,
13,0.6,0.37,0.23,,
14,0.6,0.37,0.23,,
15,0.6,0.37,0.23,,
16,0.5,0.28,0.22,,
17,0.6,0.38,0.22,,
18,0.4,0.18,0.22,,
19,0.8,0.58,0.22,,
20,0.4,0.18,0.22,,
21,0.6,0.38,0.22,,
22,0.6,0.38,0.22,,
23,2.6,2.36,0.24,,
24,3,2.74,0.26,,
25,23,22.52,0.48,,
26,212,209.44,2.56,,
27,82.2,78.91,3.29,,
28,39.1,35.52,3.58,,
29,180,174.75,5.25,,
30,39.6,34.12,5.48,,
1,13.3,7.85,5.45,,
2,10,4.61,5.39,,
3,9,3.68,5.32,,
4,6,0.78,5.22,,
5,5,0,5,,
6,5.2,0.3,4.9,,
7,9.8,4.95,4.85,,
8,10,5.19,4.81,,
9,8.9,4.15,4.75,,
10,9.9,5.19,4.71,,
11,10,5.33,4.67,,
12,52.9,47.85,5.05,,
13,20.2,15.1,5.1,,
14,22,16.83,5.17,,
15,5,0,5,,
16,6,1.09,4.91,,
17,4.4,0,4.4,,
18,3.7,0,3.7,,
19,3.4,0,3.4,,
20,3,0,3,,
21,20.6,17.49,3.11,,
22,13,9.85,3.15,,
23,186.6,181.7,4.9,,
24,105,99.21,5.79,,
25,108.3,101.62,6.68,,
26,118.8,111.14,7.66,,
27,55,47.03,7.97,,
28,34.2,26.13,8.07,,
29,30.4,22.27,8.13,,
30,29.9,21.71,8.19,,
31,28,19.78,8.22,,
1,25.8,17.57,8.23,,
2,12,3.89,8.11,,
3,16,7.98,8.02,,
4,14,6.08,7.92,,
5,34.6,26.57,8.03,,
6,27.6,19.54,8.06,,
7,40,31.78,8.22,,
8,303.2,292.23,10.97,,
9,174,161.64,12.36,,
10,121.9,108.71,13.19,,
11,66.6,53.14,13.46,,
12,121.6,107.34,14.26,,
13,200,184.19,15.81,,
14,150,133.18,16.82,,
15,92.5,75.27,17.23,,
16,52.3,35.06,17.24,,
17,44.2,27.04,17.16,,
18,34.8,17.8,17,,
19,31.5,14.7,16.8,,
20,26.6,10.03,16.57,,
21,16.5,0.26,16.24,,
22,92.3,75.63,16.67,,
23,77,60.07,16.93,,
24,665,642.01,22.99,,
25,1003.5,971.29,32.21,,
26,553.6,516.89,36.71,,
27,343,303.99,39.01,,
28,643.5,599.3,44.2,,
29,992.7,940.02,52.68,,
30,1776.8,1708.16,68.64,,
31,1784.8,1700.59,84.21,,
1,626.5,538.61,87.89,,
2,1218,1120.7,97.3,,
3,575,474.92,100.08,,
4,372.5,271.71,100.79,,
5,286.1,185.48,100.62,,
6,195,95.44,99.56,,
7,129.6,31.71,97.89,,
8,122.6,26.41,96.19,,
9,104.4,10.03,94.37,,
10,89,0,89,,
11,74,0,74,,
12,68.5,0,68.5,,
13,64.8,0,64.8,,
14,2553.8,2465.73,88.07,,
15,482.7,392.48,90.22,,
16,284.7,194.35,90.35,,
17,201,111.35,89.65,,
18,173.5,84.8,88.7,,
19,147.5,59.97,87.53,,
20,84,0,84,,
21,65,0,65,,
22,55,0,55,,
23,51,0,51,,
24,35,0,35,,
25,32,0,32,,
26,30.5,0,30.5,,
27,28.4,0,28.4,,
28,46.1,18.09,28.01,,
29,40.6,13.02,27.58,,
30,35.8,8.68,27.12,,
1,33,6.36,26.64,,
2,32,5.84,26.16,,
3,29.3,3.62,25.68,,
4,42.3,16.97,25.33,,
5,38.3,13.34,24.96,,
6,30,5.49,24.51,,
7,28.3,4.23,24.07,,
8,24.3,0.71,23.59,,
9,26,2.85,23.15,,
10,22,0,22,,
11,20.9,0,20.9,,
12,19.2,0,19.2,,
13,20.2,1.37,18.83,,
14,17.3,0,17.3,,
15,20,3.02,16.98,,
16,17,0.35,16.65,,
17,13,0,13,,
18,13.2,0.46,12.74,,
19,12.3,0,12.3,,
20,12.5,0.44,12.06,,
21,18,6.12,11.88,,
22,11.2,0,11.2,,
23,10.8,0,10.8,,
24,10.2,0,10.2,,
25,8.9,0,8.9,,
26,8.8,0.08,8.72,,
27,8.6,0.05,8.55,,
28,8.3,0,8.3,,
29,8.2,0.07,8.13,,
30,8.2,0.23,7.97,,
31,6.2,0,6.2,,
1,8.2,2.1,6.1,,
2,5.5,0,5.5,,
3,4.9,0,4.9,,
4,5.5,0.69,4.81,,
5,5.7,0.98,4.72,,
6,5.7,1.06,4.64,,
7,5.2,0.65,4.55,,
8,5.2,0.73,4.47,,
9,5.1,0.71,4.39,,
10,5.1,0.79,4.31,,
11,5,0.77,4.23,,
12,5,0.85,4.15,,
13,5,0.92,4.08,,
14,4.9,0.89,4.01,,
15,4.7,0.77,3.93,,
16,4.2,0.34,3.86,,
17,4,0.22,3.78,,
18,3.6,0,3.6,,
19,3.4,0,3.4,,
20,3.2,0,3.2,,
21,3,0,3,,
22,2.9,0,2.9,,
23,6.6,3.72,2.88,,
24,17,14.04,2.96,,
25,40.6,37.33,3.27,,
26,17.1,13.75,3.35,,
27,6,2.69,3.31,,
28,8.9,5.6,3.3,,
29,7.4,4.13,3.27,,
30,6.5,3.26,3.24,,
1,8.6,5.37,3.23,,
2,6.6,3.4,3.2,,
3,7.3,4.13,3.17,,
4,6.8,3.65,3.15,,
5,5.3,2.2,3.1,,
6,5.1,2.04,3.06,,
7,5.8,2.77,3.03,,
8,5.2,2.21,2.99,,
9,4.5,1.55,2.95,,
10,3.9,1,2.9,,
11,4.4,1.55,2.85,,
12,4.2,1.39,2.81,,
13,4.2,1.43,2.77,,
14,3.7,0.98,2.72,,
15,3.4,0.72,2.68,,
16,4.4,1.76,2.64,,
17,3.7,1.1,2.6,,
18,4.1,1.54,2.56,,
19,3.6,1.08,2.52,,
20,3.9,1.41,2.49,,
21,4.1,1.65,2.45,,
22,3,0.59,2.41,,
23,2.9,0.53,2.37,,
24,2.8,0.48,2.32,,
25,2.6,0.32,2.28,,
26,3,0.76,2.24,,
27,3.1,0.89,2.21,,
28,3,0.83,2.17,,
29,3,0.86,2.14,,
30,3.7,1.59,2.11,,
31,2.3,0.23,2.07,,
1,2.4,0.37,2.03,,
2,2.3,0.31,1.99,,
3,2.6,0.64,1.96,,
4,2.2,0.28,1.92,,
5,2.2,0.31,1.89,,
6,2.6,0.74,1.86,,
7,2.6,0.77,1.83,,
8,2.5,0.7,1.8,,
9,2.6,0.83,1.77,,
10,2.4,0.66,1.74,,
11,2.4,0.69,1.71,,
12,2.1,0.42,1.68,,
13,2.2,0.54,1.66,,
14,3.5,1.86,1.64,,
15,3.5,1.87,1.63,,
16,3.5,1.89,1.61,,
17,2.2,0.61,1.59,,
18,2.3,0.74,1.56,,
19,2.1,0.56,1.54,,
20,1.7,0.19,1.51,,
21,1.9,0.42,1.48,,
22,1.5,0.05,1.45,,
23,1.7,0.27,1.43,,
24,1.6,0.2,1.4,,
25,1.5,0.13,1.37,,
26,1.2,0,1.2,,
27,1.9,0.72,1.18,,
28,3.1,1.92,1.18,,
29,3.4,2.22,1.18,,
30,2.3,1.14,1.16,,
31,1.8,0.65,1.15,,
1,2.2,1.06,1.14,,
2,2.2,1.08,1.12,,
3,2,0.89,1.11,,
4,1.6,0.51,1.09,,
5,2.3,1.22,1.08,,
6,2.3,1.23,1.07,,
7,2,0.94,1.06,,
8,2.1,1.05,1.05,,
9,1.9,0.86,1.04,,
10,1.7,0.68,1.02,,
11,3,1.98,1.02,,
12,3.6,2.57,1.03,,
13,2.2,1.18,1.02,,
14,2.9,1.88,1.02,,
15,2.7,1.69,1.01,,
16,2.8,1.79,1.01,,
17,2.6,1.59,1.01,,
18,3.5,2.49,1.01,,
19,4.2,3.18,1.02,,
20,2.4,1.38,1.02,,
21,2,0.99,1.01,,
22,2.1,1.1,1,,
23,2,1.01,0.99,,
24,1.8,0.82,0.98,,
25,1.8,0.84,0.96,,
26,1.6,0.65,0.95,,
27,1.7,0.76,0.94,,
28,1.5,0.57,0.93,,
1,1.5,0.59,0.91,,
2,1.4,0.5,0.9,,
3,1.2,0.31,0.89,,
4,1.3,0.43,0.87,,
5,1.2,0.34,0.86,,
6,1.1,0.26,0.84,,
7,1,0.17,0.83,,
8,1,0.19,0.81,,
9,1,0.2,0.8,,
10,1,0.21,0.79,,
11,2.8,2.01,0.79,,
12,2.5,1.71,0.79,,
13,1,0.22,0.78,,
14,0.8,0.04,0.76,,
15,0.8,0.05,0.75,,
16,1.1,0.36,0.74,,
17,0.9,0.18,0.72,,
18,0.8,0.09,0.71,,
19,0.9,0.2,0.7,,
20,0.9,0.21,0.69,,
21,0.7,0.03,0.67,,
22,0.7,0.04,0.66,,
23,0.7,0.05,0.65,,
24,0.7,0.07,0.63,,
25,0.7,0.08,0.62,,
26,0.7,0.09,0.61,,
27,0.7,0.1,0.6,,
28,0.6,0.01,0.59,,
29,0.7,0.12,0.58,,
30,0.6,0.03,0.57,,
31,0.7,0.14,0.56,,
1,0.7,0.15,0.55,,
2,0.6,0.06,0.54,,
3,0.6,0.07,0.53,,
4,0.5,0,0.5,,
5,0.6,0.11,0.49,,
6,0.6,0.12,0.48,,
7,0,0,0,,
8,0,0,0,,
9,0,0,0,,
10,0,0,0,,
11,0,0,0,,
12,0,0,0,,
13,0,0,0,,
14,0,0,0,,
15,0,0,0,,
16,0,0,0,,
17,0,0,0,,
18,0,0,0,,
19,0,0,0,,
20,0,0,0,,
21,0,0,0,,
22,0,0,0,,
23,0,0,0,,
24,0,0,0,,
25,0,0,0,,
26,0,0,0,,
27,0,0,0,,
28,0,0,0,,
29,0,0,0,,
30,0,0,0,,
1,0,0,0,,
2,0,0,0,,
3,0,0,0,,
4,0,0,0,,
5,0,0,0,,
6,0,0,0,,
7,0,0,0,,
8,0,0,0,,
9,0,0,0,,
10,0,0,0,,
11,0,0,0,,
12,0,0,0,,
13,0,0,0,,
14,0,0,0,,
15,0,0,0,,
16,0,0,0,,
17,0,0,0,,
18,0,0,0,,
19,0,0,0,,
20,0,0,0,,
21,0,0,0,,
22,0,0,0,,
23,0,0,0,,
24,0,0,0,,
25,0,0,0,,
26,0,0,0,,
27,0,0,0,,
28,0,0,0,,
29,0,0,0,,
30,0,0,0,,
31,0,0,0,,
1,0,0,0,,
2,0,0,0,,
3,0,0,0,,
4,0,0,0,,
5,0,0,0,,
6,0,0,0,,
7,0,0,0,,
8,0,0,0,,
9,0,0,0,,
10,0,0,0,,
11,0,0,0,,
12,0,0,0,,
13,0,0,0,,
14,0,0,0,,
15,0,0,0,,
16,0,0,0,,
17,0,0,0,,
18,0,0,0,,
19,0.5,0.5,0,,
20,150,148.52,1.48,,
21,35,33.21,1.79,,
22,16,14.11,1.89,,
23,22,19.95,2.05,,
24,24,21.77,2.23,,
25,18,15.66,2.34,,
26,2.9,0.6,2.3,,
27,4.9,2.62,2.28,,
28,5.4,3.14,2.26,,
29,45,42.36,2.64,,
30,34,31.1,2.9,,
1,128.5,124.42,4.08,,
2,130,124.76,5.24,,
3,50.4,44.82,5.58,,
4,51.2,45.28,5.92,,
5,52,45.74,6.26,,
6,164,156.31,7.69,,
7,112.7,104.13,8.57,,
8,154,144.16,9.84,,
9,164.3,153.13,11.17,,
10,117.6,105.6,12,,
11,268,253.72,14.28,,
12,55.4,40.99,14.41,,
13,940,916.75,23.25,,
14,331.5,305.67,25.83,,
15,165.3,138.6,26.7,,
16,120.3,93.21,27.09,,
17,98.3,71.04,27.26,,
18,85.3,58.01,27.29,,
19,53.2,26.19,27.01,,
20,45.7,19.05,26.65,,
21,48.1,21.76,26.34,,
22,39.4,13.45,25.95,,
23,26,0.57,25.43,,
24,60.2,34.93,25.27,,
25,150.3,124.3,26,,
26,146.6,119.92,26.68,,
27,78.3,51.64,26.66,,
28,50.2,23.84,26.36,,
29,61.4,35.21,26.19,,
30,48,22.12,25.88,,
31,35.8,10.33,25.47,,
1,30,4.99,25.01,,
2,28,3.46,24.54,,
3,23,0,23,,
4,31.9,9.27,22.63,,
5,41.9,19.53,22.37,,
6,31,8.98,22.02,,
7,29.9,8.24,21.66,,
8,48.2,26.71,21.49,,
9,34.7,13.5,21.2,,
10,35.9,14.98,20.92,,
11,35.1,14.45,20.65,,
12,33.2,12.84,20.36,,
13,35,14.9,20.1,,
14,33,13.17,19.83,,
15,58,38.18,19.82,,
16,1224.6,1193.29,31.31,,
17,495,459.74,35.26,,
18,210,173.71,36.29,,
19,168.4,131.53,36.87,,
20,265,226.61,38.39,,
21,180.7,141.66,39.04,,
22,115.7,76.68,39.02,,
23,111.6,72.64,38.96,,
24,185.5,145.86,39.64,,
25,931.5,883.85,47.65,,
26,894.5,839.44,55.06,,
27,678,617.89,60.11,,
28,289.5,228.31,61.19,,
29,3813.4,3716.41,96.99,,
30,1095,990.09,104.91,,
31,196,92.27,103.73,,
1,234.8,131.83,102.97,,
2,245,142.67,102.33,,
3,155,54.17,100.83,,
4,169.4,69.89,99.51,,
5,105,7.41,97.59,,
6,96.8,1.15,95.65,,
7,77,0,77,,
8,80.5,4.99,75.51,,
9,68.3,0,68.3,,
10,52,0,52,,
11,65.9,14.79,51.11,,
12,64.4,14.17,50.23,,
13,65.4,16.02,49.38,,
14,54.8,6.34,48.46,,
15,49.9,2.39,47.51,,
16,45.5,0,45.5,,
17,35,0,35,,
18,45.2,10.79,34.41,,
19,43.3,9.49,33.81,,
20,39.8,6.6,33.2,,
21,39.2,6.6,32.6,,
22,27.6,0,27.6,,
23,22.3,0,22.3,,
24,27,5.1,21.9,,
25,26,4.49,21.51,,
26,18.8,0,18.8,,
27,19.2,0.77,18.43,,
28,16.6,0,16.6,,
29,16.8,0.53,16.27,,
30,13.9,0,13.9,,
1,20,6.32,13.68,,
2,11.3,0,11.3,,
3,11.7,0.62,11.08,,
4,25.2,14.2,11,,
5,42.1,31.01,11.09,,
6,20.6,9.64,10.96,,
7,16.3,5.5,10.8,,
8,17,6.35,10.65,,
9,14.4,3.93,10.47,,
10,14.5,4.2,10.3,,
11,9,0,9,,
12,8.6,0,8.6,,
13,8.3,0,8.3,,
14,8.2,0.07,8.13,,
15,8.4,0.42,7.98,,
16,8.9,1.07,7.83,,
17,8.4,0.72,7.68,,
18,8.4,0.87,7.53,,
19,7.8,0.41,7.39,,
20,7.8,0.56,7.24,,
21,7.1,0,7.1,,
22,8,1.03,6.97,,
23,7.5,0.66,6.84,,
24,7.3,0.6,6.7,,
25,7.2,0.62,6.58,,
26,6.8,0.35,6.45,,
27,6.3,0,6.3,,
28,7,0.82,6.18,,
29,6.8,0.73,6.07,,
30,6.6,0.65,5.95,,
31,6.2,0.36,5.84,,
1,6.2,0.48,5.72,,
2,4,0,4,,
3,4,0.08,3.92,,
4,3.9,0.06,3.84,,
5,3.6,0,3.6,,
6,3,0,3,,
7,3.7,0.75,2.95,,
8,3.6,0.7,2.9,,
9,3.6,0.75,2.85,,
10,3.4,0.61,2.79,,
11,3.3,0.56,2.74,,
12,4,1.3,2.7,,
13,3.6,0.94,2.66,,
14,3.6,0.99,2.61,,
15,3.5,0.93,2.57,,
16,3.4,0.87,2.53,,
17,3.2,0.72,2.48,,
18,2.7,0.26,2.44,,
19,3.8,1.4,2.4,,
20,2.6,0.24,2.36,,
21,2.7,0.39,2.31,,
22,2.7,0.43,2.27,,
23,2.7,0.47,2.23,,
24,2.6,0.41,2.19,,
25,2.8,0.65,2.15,,
26,3.7,1.57,2.13,,
27,2.8,0.71,2.09,,
28,3.1,1.04,2.06,,
29,3.2,1.17,2.03,,
30,3.2,1.2,2,,
1,7.5,5.48,2.02,,
2,7.2,5.17,2.03,,
3,6.1,4.07,2.03,,
4,7.6,5.56,2.04,,
5,12.4,10.3,2.1,,
6,11.2,9.05,2.15,,
7,5.4,3.26,2.14,,
8,4.7,2.58,2.12,,
9,3.9,1.8,2.1,,
10,4,1.92,2.08,,
11,2.8,0.76,2.04,,
12,2.9,0.89,2.01,,
13,3,1.02,1.98,,
14,2.7,0.75,1.95,,
15,2.7,0.78,1.92,,
16,2.5,0.62,1.88,,
17,3.4,1.54,1.86,,
18,2.8,0.97,1.83,,
19,2.8,0.99,1.81,,
20,2.8,1.02,1.78,,
21,2.7,0.94,1.76,,
22,2.6,0.87,1.73,,
23,2.5,0.8,1.7,,
24,3.2,1.52,1.68,,
25,2.4,0.74,1.66,,
26,2.3,0.67,1.63,,
27,2.5,0.89,1.61,,
28,2.3,0.72,1.58,,
29,2.3,0.74,1.56,,
30,2,0.47,1.53,,
31,3,1.48,1.52,,
1,2.1,0.61,1.49,,
2,2,0.53,1.47,,
3,1.9,0.46,1.44,,
4,1.9,0.48,1.42,,
5,2.1,0.7,1.4,,
6,2,0.62,1.38,,
7,3,1.64,1.36,,
8,1.9,0.56,1.34,,
9,1.8,0.48,1.32,,
10,1.8,0.5,1.3,,
11,1.8,0.52,1.28,,
12,1.5,0.25,1.25,,
13,1.7,0.47,1.23,,
14,2.9,1.67,1.23,,
15,1.5,0.3,1.2,,
16,1.5,0.32,1.18,,
17,1.5,0.34,1.16,,
18,1.4,0.26,1.14,,
19,1.6,0.48,1.12,,
20,1.5,0.39,1.11,,
21,2.9,1.8,1.1,,
22,2.3,1.21,1.09,,
23,2.2,1.12,1.08,,
24,2.7,1.62,1.08,,
25,12.4,11.23,1.17,,
26,8.2,6.99,1.21,,
27,6.2,4.96,1.24,,
28,5.7,4.44,1.26,,
29,5.6,4.32,1.28,,
30,4.9,3.61,1.29,,
31,4.6,3.31,1.29,,
1,3.2,1.91,1.29,,
2,3.1,1.82,1.28,,
3,3,1.73,1.27,,
4,3,1.74,1.26,,
5,3,1.75,1.25,,
6,12.3,10.96,1.34,,
7,3.4,2.07,1.33,,
8,17.5,16.03,1.47,,
9,7.8,6.3,1.5,,
10,3.5,2.01,1.49,,
11,5.7,4.2,1.5,,
12,3.6,2.11,1.49,,
13,3,1.52,1.48,,
14,3.6,2.13,1.47,,
15,4,2.54,1.46,,
16,5.1,3.63,1.47,,
17,4.6,3.13,1.47,,
18,3.2,1.74,1.46,,
19,2.8,1.35,1.45,,
20,2.8,1.37,1.43,,
21,2.6,1.19,1.41,,
22,2.2,0.81,1.39,,
23,2.2,0.83,1.37,,
24,2.3,0.94,1.36,,
25,2.3,0.96,1.34,,
26,2,0.68,1.32,,
27,1.9,0.6,1.3,,
28,1.9,0.62,1.28,,
1,1.9,0.64,1.26,,
2,1.8,0.56,1.24,,
3,1.5,0.28,1.22,,
4,1.6,0.4,1.2,,
5,1.8,0.62,1.18,,
6,1.8,0.64,1.16,,
7,1.6,0.46,1.14,,
8,1.5,0.38,1.12,,
9,1.4,0.3,1.1,,
10,1.3,0.22,1.08,,
11,1.1,0.04,1.06,,
12,1.3,0.26,1.04,,
13,1.2,0.17,1.03,,
14,1.2,0.19,1.01,,
15,1.2,0.21,0.99,,
16,1.1,0.13,0.97,,
17,1.1,0.15,0.95,,
18,1.1,0.17,0.93,,
19,0.9,0,0.9,,
20,0.9,0.02,0.88,,
21,0.9,0.04,0.86,,
22,0.9,0.05,0.85,,
23,0.9,0.07,0.83,,
24,0.7,0,0.7,,
25,0.7,0.01,0.69,,
26,0.7,0.03,0.67,,
27,0.7,0.04,0.66,,
28,0.7,0.05,0.65,,
29,0.7,0.07,0.63,,
30,0.7,0.08,0.62,,
31,0.7,0.09,0.61,,
1,0.7,0.1,0.6,,
2,0.7,0.11,0.59,,
3,0.7,0.12,0.58,,
4,0.7,0.13,0.57,,
5,0.8,0.24,0.56,,
6,0.7,0.15,0.55,,
7,0.7,0.16,0.54,,
8,0.7,0.17,0.53,,
9,0.7,0.18,0.52,,
10,0.7,0.19,0.51,,
11,0.7,0.19,0.51,,
12,0.7,0.2,0.5,,
13,0.7,0.21,0.49,,
14,0.6,0.12,0.48,,
15,0.7,0.23,0.47,,
16,0.6,0.13,0.47,,
17,0.6,0.14,0.46,,
18,0.5,0.05,0.45,,
19,0.4,0,0.4,,
20,0.4,0.01,0.39,,
21,0.4,0.02,0.38,,
22,0.6,0.22,0.38,,
23,0.4,0.03,0.37,,
24,0.4,0.04,0.36,,
25,0.4,0.04,0.36,,
26,0.4,0.05,0.35,,
27,0.4,0.06,0.34,,
28,0.4,0.06,0.34,,
29,0.6,0.27,0.33,,
30,0.4,0.07,0.33,,
1,0.4,0.08,0.32,,
2,0.4,0.08,0.32,,
3,0.4,0.09,0.31,,
4,0.4,0.09,0.31,,
5,0.3,0,0.3,,
6,0.6,0.3,0.3,,
7,0.3,0.01,0.29,,
8,0.4,0.11,0.29,,
9,0.4,0.12,0.28,,
10,0.4,0.12,0.28,,
11,0.4,0.13,0.27,,
12,0.3,0.03,0.27,,
13,0.3,0.04,0.26,,
14,0.4,0.14,0.26,,
15,0.4,0.14,0.26,,
16,0.4,0.15,0.25,,
17,0.4,0.15,0.25,,
18,0.4,0.16,0.24,,
19,0.3,0.06,0.24,,
20,0.2,0,0.2,,
21,0.3,0.1,0.2,,
22,0.3,0.11,0.19,,
23,0.2,0.01,0.19,,
24,0.2,0.01,0.19,,
25,0.2,0.02,0.18,,
26,0.2,0.02,0.18,,
27,0.2,0.02,0.18,,
28,0.2,0.03,0.17,,
29,0.2,0.03,0.17,,
30,0,0,0,,
31,0,0,0,,
1,0,0,0,,
2,0,0,0,,
3,0,0,0,,
4,0,0,0,,
5,0,0,0,,
6,0,0,0,,
7,0,0,0,,
8,0,0,0,,
9,0,0,0,,
10,0,0,0,,
11,0,0,0,,
12,0,0,0,,
13,0,0,0,,
14,0,0,0,,
15,0,0,0,,
16,0,0,0,,
17,0,0,0,,
18,0,0,0,,
19,0,0,0,,
20,0,0,0,,
21,3.7,3.66,0.04,,
22,5.3,5.21,0.09,,
23,2.8,2.69,0.11,,
24,2.5,2.37,0.13,,
25,8.2,7.99,0.21,,
26,33.1,32.57,0.53,,
27,40.3,39.39,0.91,,
28,24.9,23.77,1.13,,
29,14.9,13.66,1.24,,
30,7.3,6.02,1.28,,
1,3,1.73,1.27,,
2,2.9,1.64,1.26,,
3,2.5,1.25,1.25,,
4,2.2,0.97,1.23,,
5,1.6,0.39,1.21,,
6,1.4,0.21,1.19,,
7,1.3,0.13,1.17,,
8,9,7.78,1.22,,
9,541.3,534.77,6.53,,
10,207.3,198.92,8.38,,
11,43.8,35.24,8.56,,
12,17.7,9.22,8.48,,
13,15.6,7.22,8.38,,
14,16.9,8.6,8.3,,
15,33,24.62,8.38,,
16,21.5,13.16,8.34,,
17,13.3,5.07,8.23,,
18,13.3,5.18,8.12,,
19,13.6,5.59,8.01,,
20,10.9,3.02,7.88,,
21,10.3,2.55,7.75,,
22,9,1.39,7.61,,
23,5,0,5,,
24,5.4,0.5,4.9,,
25,3.8,0,3.8,,
26,2.6,0,2.6,,
27,2.5,0,2.5,,
28,4.1,1.63,2.47,,
29,8.5,6.02,2.48,,
30,58.4,55.42,2.98,,
31,49.6,46.22,3.38,,
1,16.4,12.96,3.44,,
2,17.9,14.38,3.52,,
3,280.8,274.62,6.18,,
4,248.9,240.45,8.45,,
5,805,788.86,16.14,,
6,237.2,219.2,18,,
7,130,111.25,18.75,,
8,84.1,65.07,19.03,,
9,250,229.07,20.93,,
10,1235,1202.51,32.49,,
11,356.3,321.26,35.04,,
12,195,159.08,35.92,,
13,140,103.76,36.24,,
14,100.1,63.95,36.15,,
15,90,54.03,35.97,,
16,81.1,45.4,35.7,,
17,74,38.63,35.37,,
18,57.6,22.71,34.89,,
19,40,5.75,34.25,,
20,41.7,8.06,33.64,,
21,40.7,7.65,33.05,,
22,37,4.57,32.43,,
23,33.7,1.9,31.8,,
24,29.5,0,29.5,,
25,26.6,0,26.6,,
26,26.3,0.23,26.07,,
27,24.9,0,24.9,,
28,25.2,0.79,24.41,,
29,24.6,0.67,23.93,,
30,22.2,0,22.2,,
31,21.3,0,21.3,,
1,13.9,0,13.9,,
2,12,0,12,,
3,14.4,2.61,11.79,,
4,12.8,1.24,11.56,,
5,11.2,0,11.2,,
6,10.2,0,10.2,,
7,9.4,0,9.4,,
8,8.4,0,8.4,,
9,7,0,7,,
10,9.6,2.71,6.89,,
11,9.7,2.92,6.78,,
12,8.7,2.04,6.66,,
13,8.6,2.05,6.55,,
14,7.8,1.37,6.43,,
15,14.3,7.92,6.38,,
16,8,1.73,6.27,,
17,9.8,3.62,6.18,,
18,9.1,3.01,6.09,,
19,17.7,11.62,6.08,,
20,16.1,10.04,6.06,,
21,28.7,22.53,6.17,,
22,15.4,9.27,6.13,,
23,8,1.97,6.03,,
24,11.6,5.63,5.97,,
25,9.3,3.42,5.88,,
26,16.2,10.33,5.87,,
27,25.7,19.75,5.95,,
28,10.6,4.73,5.87,,
29,8.9,3.11,5.79,,
30,7,1.31,5.69,,
1,6.8,1.22,5.58,,
2,5.3,0,5.3,,
3,6,0.8,5.2,,
4,5.5,0.4,5.1,,
5,5.3,0.3,5,,
6,5.3,0.39,4.91,,
7,7,2.17,4.83,,
8,3.9,0,3.9,,
9,3.8,0,3.8,,
10,3.7,0,3.7,,
11,3.6,0,3.6,,
12,3.3,0,3.3,,
13,3.1,0,3.1,,
14,2.5,0,2.5,,
15,2.8,0.35,2.45,,
16,2.9,0.49,2.41,,
17,2.5,0.14,2.36,,
18,2.4,0.08,2.32,,
19,2.5,0.23,2.27,,
20,2.5,0.27,2.23,,
21,2.5,0.31,2.19,,
22,2.4,0.25,2.15,,
23,2.4,0.29,2.11,,
24,2.5,0.43,2.07,,
25,2.4,0.37,2.03,,
26,2.4,0.41,1.99,,
27,2.4,0.44,1.96,,
28,2.5,0.57,1.93,,
29,2.1,0.21,1.89,,
30,1.8,0,1.8,,
31,1.7,0,1.7,,
1,1.6,0,1.6,,
2,1.8,0.23,1.57,,
3,1.6,0.06,1.54,,
4,2.5,0.98,1.52,,
5,1.3,0,1.3,,
6,1.2,0,1.2,,
7,1.4,0.22,1.18,,
8,1.5,0.34,1.16,,
9,1.5,0.36,1.14,,
10,1.4,0.28,1.12,,
11,2.5,1.39,1.11,,
12,1.4,0.31,1.09,,
13,1.4,0.33,1.07,,
14,1.4,0.35,1.05,,
15,1.4,0.36,1.04,,
16,1.4,0.38,1.02,,
17,1.4,0.4,1,,
18,2.5,1.5,1,,
19,21.4,20.22,1.18,,
20,1.3,0.14,1.16,,
21,1.2,0.06,1.14,,
22,1.4,0.28,1.12,,
23,1.3,0.2,1.1,,
24,1.3,0.22,1.08,,
25,2.5,1.43,1.07,,
26,1.2,0.15,1.05,,
27,1.2,0.17,1.03,,
28,1.8,0.78,1.02,,
29,26.2,24.96,1.24,,
30,20.4,18.99,1.41,,
1,23.1,21.51,1.59,,
2,12.1,10.43,1.67,,
3,5.2,3.53,1.67,,
4,4.7,3.03,1.67,,
5,3.2,1.55,1.65,,
6,3.1,1.47,1.63,,
7,3,1.39,1.61,,
8,2.7,1.11,1.59,,
9,0.8,0,0.8,,
10,2.5,1.7,0.8,,
11,2.5,1.7,0.8,,
12,2.4,1.6,0.8,,
13,2.4,1.6,0.8,,
14,2.3,1.5,0.8,,
15,2.2,1.4,0.8,,
16,0.4,0,0.4,,
17,2.2,1.79,0.41,,
18,2.2,1.78,0.42,,
19,1.8,1.38,0.42,,
20,1.5,1.07,0.43,,
21,1.5,1.07,0.43,,
22,1.5,1.07,0.43,,
23,0.4,0,0.4,,
24,1.7,1.3,0.4,,
25,0.4,0,0.4,,
26,1.4,1,0.4,,
27,1.4,1,0.4,,
28,1.3,0.9,0.4,,
29,1.5,1.1,0.4,,
