           Day,    Flow (cfs),Direct Runoff (cfs),Base Flow (cfs),,Base Flow Index (BFI): 0.169
1,2.7,1.09,1.61,,
2,2.6,1.02,1.58,,
3,2.6,1.04,1.56,,
4,2.5,0.97,1.53,,
5,2.5,0.99,1.51,,
6,2.5,1.01,1.49,,
7,2.2,0.74,1.46,,
8,2.4,0.96,1.44,,
9,1.8,0.39,1.41,,
10,1.8,0.41,1.39,,
11,1.8,0.44,1.36,,
12,1.7,0.36,1.34,,
13,1.7,0.39,1.31,,
14,1.6,0.31,1.29,,
15,1.6,0.33,1.27,,
16,1.9,0.65,1.25,,
17,1.3,0.08,1.22,,
18,1.3,0.1,1.2,,
19,1.2,0.03,1.17,,
20,1.2,0.05,1.15,,
21,1.4,0.27,1.13,,
22,1.2,0.09,1.11,,
23,2,0.91,1.09,,
24,7.7,6.59,1.11,,
25,4.4,3.29,1.11,,
26,1.9,0.8,1.1,,
27,1.8,0.72,1.08,,
28,1.8,0.74,1.06,,
29,1.5,0.46,1.04,,
30,1.6,0.57,1.03,,
31,1.6,0.59,1.01,,
1,1.5,0.51,0.99,,
2,1.5,0.52,0.98,,
3,1.3,0.34,0.96,,
4,1.1,0.16,0.94,,
5,1.2,0.28,0.92,,
6,1.2,0.29,0.91,,
7,1.1,0.21,0.89,,
8,1.1,0.23,0.87,,
9,1.1,0.24,0.86,,
10,1,0.16,0.84,,
11,0.9,0.07,0.83,,
12,1.1,0.29,0.81,,
13,1.1,0.3,0.8,,
14,1.1,0.32,0.78,,
15,1.1,0.33,0.77,,
16,14.2,13.36,0.84,,
17,4.4,3.55,0.85,,
18,2.3,1.46,0.84,,
19,1.5,0.67,0.83,,
20,1.3,0.48,0.82,,
21,1.1,0.3,0.8,,
22,1,0.21,0.79,,
23,0.8,0.03,0.77,,
24,0.7,0,0.7,,
25,0.7,0.01,0.69,,
26,0.6,0,0.6,,
27,0.6,0.01,0.59,,
28,0.6,0.02,0.58,,
1,0.7,0.13,0.57,,
2,0.6,0.05,0.55,,
3,14.7,14.06,0.64,,
4,2.7,2.06,0.64,,
5,1.5,0.87,0.63,,
6,1.3,0.68,0.62,,
7,1.2,0.59,0.61,,
8,1.3,0.69,0.61,,
9,1.2,0.6,0.6,,
10,1.1,0.51,0.59,,
11,1,0.42,0.58,,
12,1.3,0.73,0.57,,
13,1,0.43,0.57,,
14,0.9,0.34,0.56,,
15,0.9,0.35,0.55,,
16,0.9,0.36,0.54,,
17,0.9,0.37,0.53,,
18,0.9,0.38,0.52,,
19,0.9,0.38,0.52,,
20,0.9,0.39,0.51,,
21,0.8,0.3,0.5,,
22,0.7,0.21,0.49,,
23,0.7,0.22,0.48,,
24,0.6,0.13,0.47,,
25,0.6,0.13,0.47,,
26,0.6,0.14,0.46,,
27,0.3,0,0.3,,
28,0.6,0.3,0.3,,
29,0.2,0,0.2,,
30,0.6,0.4,0.2,,
31,0.6,0.4,0.2,,
1,0.6,0.4,0.2,,
2,0.6,0.41,0.19,,
3,0.6,0.41,0.19,,
4,0.4,0.21,0.19,,
5,0.4,0.21,0.19,,
6,0.2,0.01,0.19,,
7,0.2,0.02,0.18,,
8,0.4,0.22,0.18,,
9,0.2,0.02,0.18,,
10,0.2,0.03,0.17,,
11,0.2,0.03,0.17,,
12,0.2,0.03,0.17,,
13,0.6,0.43,0.17,,
14,0.6,0.43,0.17,,
15,0.6,0.44,0.16,,
16,0.8,0.63,0.17,,
17,0.8,0.63,0.17,,
18,0.7,0.53,0.17,,
19,0.7,0.53,0.17,,
20,0.5,0.33,0.17,,
21,0.6,0.43,0.17,,
22,0.5,0.34,0.16,,
23,0.5,0.34,0.16,,
24,0.5,0.34,0.16,,
25,0.5,0.34,0.16,,
26,0.4,0.24,0.16,,
27,0.4,0.24,0.16,,
28,0.4,0.24,0.16,,
29,0.4,0.24,0.16,,
30,0.4,0.25,0.15,,
1,0.4,0.25,0.15,,
2,0.4,0.25,0.15,,
3,0.3,0.15,0.15,,
4,0.4,0.25,0.15,,
5,0.2,0.05,0.15,,
6,0.4,0.26,0.14,,
7,0.2,0.06,0.14,,
8,0.3,0.16,0.14,,
9,0.2,0.06,0.14,,
