Grid No.,Lat,Long
1,23,80.75
2,22.75,80.5
3,22.75,80.75
4,22.75,81
5,22.75,81.25
6,22.5,80.75
7,22.5,81
8,22.5,81.25
9,22.5,81.5
10,22.25,80.75
11,22.25,81
12,22.25,81.25
13,22,80.75
14,22,81
