Grid No.,Lat,Long
1,22,75.5
2,22,75.75
3,22,76
4,21.75,75.5
5,21.75,75.75
6,21.75,76
7,21.75,76.25
8,21.5,75.25
9,21.5,75.5
10,21.5,75.75
11,21.5,76
12,21.5,76.25
