Grid No.,,LAT,LONG,Weights
44,RF_Grid 1,23,81,0.039160017
45,RF_Grid 2,23,81.25,0.113322176
46,RF_Grid 3,23,81.5,0.021040502
47,RF_Grid 4,23,81.75,0
69,RF_Grid 5,22.75,81,0.028596144
70,RF_Grid 6,22.75,81.25,0.23164194
71,RF_Grid 7,22.75,81.5,0.302695818
72,RF_Grid 8,22.75,81.75,0.10399204
104,RF_Grid 9,22.5,81.25,0.017063143
105,RF_Grid 10,22.5,81.5,0.135325944
106,RF_Grid 11,22.5,81.75,0.007162278
