Grid No.,Lat,Long
1,23,78.75
2,23,79
3,22.75,78.75
4,22.75,79
5,22.75,79.25
6,22.5,78.75
7,22.5,79
8,22.5,79.25
9,22.25,78.75
10,22.25,79
Q,22.92,78.79
