Grid No.,LAT,LONG
T1,23.5,77.5
T2,23.5,78.5
T3,23.5,79.5
T4,23.5,80.5
T5,23.5,81.5
T6,22.5,72.5
T7,22.5,73.5
T8,22.5,74.5
T9,22.5,75.5
T10,22.5,76.5
T11,22.5,77.5
T12,22.5,78.5
T13,22.5,79.5
T14,22.5,80.5
T15,22.5,81.5
T16,21.5,72.5
T17,21.5,73.5
T18,21.5,74.5
T19,21.5,75.5
T20,21.5,76.5
T21,21.5,77.5
T22,21.5,78.5
T23,21.5,80.5
T24,21.5,81.5
