Grid No.,Lat,Long
RF_1,23,78.75
RF_2,23,79
RF_3,22.75,78.75
RF_4,22.75,79
RF_5,22.75,79.25
RF_6,22.5,78.75
RF_7,22.5,79
RF_8,22.5,79.25
RF_9,22.25,78.75
RF_10,22.25,79
